cntr_01,dist_x,pang_x,ra_01,dec_01,ra,dec,clon,clat,mjd,w1mpro,w1sigmpro,w2mpro,w2sigmpro,qual_frame,cc_flags,name
37,0.678956,-149.618459,132.50489,46.433491,132.5047516,46.4333283,08h50m01.14s,46d25m59.98s,57125.58883852,14.601,0.078,13.822,0.12,10,0000,P18140
37,0.680041,-172.537002,132.50489,46.433491,132.5048544,46.4333037,08h50m01.17s,46d25m59.89s,56957.87954704,14.573,0.067,13.728,0.158,10,0000,P18140
37,0.69839,-41.6314,132.50489,46.433491,132.504703,46.433636,08h50m01.13s,46d26m01.09s,59511.14027867,14.561,0.088,13.822,0.129,10,0000,P18140
37,0.703254,172.111771,132.50489,46.433491,132.5049289,46.4332975,08h50m01.18s,46d25m59.87s,59304.45844345,14.556,0.074,13.87,0.121,10,0000,P18140
37,0.732627,155.510909,132.50489,46.433491,132.5050124,46.4333058,08h50m01.20s,46d25m59.90s,58573.08457696,14.764,0.114,14.045,0.154,10,0000,P18140
37,0.733075,-40.605058,132.50489,46.433491,132.5046977,46.4336456,08h50m01.13s,46d26m01.12s,57484.34636013,14.516,0.066,13.713,0.109,10,0000,P18140
37,0.750309,-89.560036,132.50489,46.433491,132.5045876,46.4334926,08h50m01.10s,46d26m00.57s,58051.93442429,14.827,0.094,14.156,0.16,10,0000,P18140
37,0.753412,-145.223465,132.50489,46.433491,132.5047168,46.4333191,08h50m01.13s,46d25m59.95s,57687.5982891,14.728,0.092,13.956,0.169,10,0000,P18140
37,0.756716,101.470153,132.50489,46.433491,132.5051889,46.4334492,08h50m01.25s,46d26m00.42s,59877.983435,14.716,0.093,13.854,0.16,10,0000,P18140
37,0.762475,-89.485893,132.50489,46.433491,132.5045827,46.4334929,08h50m01.10s,46d26m00.57s,58416.0735401,14.452,0.099,13.848,0.127,10,0000,P18140
37,0.769661,23.339809,132.50489,46.433491,132.5050129,46.4336873,08h50m01.20s,46d26m01.27s,60399.89713286,14.8,0.106,14.0,0.159,10,0000,P18140
37,0.791003,-35.580646,132.50489,46.433491,132.5047045,46.4336697,08h50m01.13s,46d26m01.21s,59668.55620999,14.63,0.087,14.227,0.172,10,0000,P18140
37,0.794855,138.828316,132.50489,46.433491,132.5051009,46.4333248,08h50m01.22s,46d25m59.97s,57845.02509836,14.936,0.12,14.158,0.225,10,0000,P18140
37,0.799934,-103.348133,132.50489,46.433491,132.5045763,46.4334397,08h50m01.10s,46d26m00.38s,59668.81750757,14.711,0.099,13.703,0.14,10,0000,P18140
37,0.841084,55.77677,132.50489,46.433491,132.5051703,46.4336224,08h50m01.24s,46d26m01.04s,60035.38622494,14.411,0.076,14.031,0.194,10,0000,P18140
37,0.865356,116.805106,132.50489,46.433491,132.5052013,46.4333826,08h50m01.25s,46d26m00.18s,58942.2709145,14.662,0.099,13.962,0.219,10,0000,P18140
37,0.87545,110.685217,132.50489,46.433491,132.5052201,46.4334051,08h50m01.25s,46d26m00.26s,58782.37028546,14.625,0.08,13.929,0.152,10,0000,P18140
37,0.87865,-170.327573,132.50489,46.433491,132.5048305,46.4332504,08h50m01.16s,46d25m59.70s,59668.22971536,14.756,0.14,13.807,0.122,5,0000,P18140
37,0.88223,-116.070425,132.50489,46.433491,132.5045706,46.4333833,08h50m01.10s,46d26m00.18s,59878.30941993,14.803,0.132,13.892,0.168,10,0000,P18140
37,0.941784,-80.339405,132.50489,46.433491,132.5045158,46.4335349,08h50m01.08s,46d26m00.73s,58209.20182606,14.748,0.084,14.715,,10,0000,P18140
37,0.955068,-9.178232,132.50489,46.433491,132.5048286,46.4337529,08h50m01.16s,46d26m01.51s,59146.38753594,14.749,0.088,14.194,0.178,5,0000,P18140
37,0.958221,169.964423,132.50489,46.433491,132.5049573,46.4332289,08h50m01.19s,46d25m59.62s,58051.08329675,14.936,0.098,14.356,0.265,10,0000,P18140
37,1.01531,173.292019,132.50489,46.433491,132.5049378,46.4332109,08h50m01.19s,46d25m59.56s,60035.51623711,14.838,0.1,13.48,0.144,10,0000,P18140
37,1.015329,94.432959,132.50489,46.433491,132.505298,46.4334692,08h50m01.27s,46d26m00.49s,58572.88822119,14.302,0.077,14.065,0.146,10,0000,P18140
37,1.020977,90.121067,132.50489,46.433491,132.5053015,46.4334904,08h50m01.27s,46d26m00.57s,57484.80503324,14.527,0.083,14.209,0.154,10,0000,P18140
37,1.044463,-44.622145,132.50489,46.433491,132.5045943,46.4336975,08h50m01.10s,46d26m01.31s,59877.59238038,14.841,0.098,14.171,0.196,5,0000,P18140
37,1.092233,164.883651,132.50489,46.433491,132.5050048,46.4331981,08h50m01.20s,46d25m59.51s,60400.02561692,14.716,0.093,13.787,0.148,10,0000,P18140
37,1.233422,-133.767388,132.50489,46.433491,132.504531,46.433254,08h50m01.09s,46d25m59.71s,58208.35107997,14.568,0.077,14.076,0.186,10,0000,P18140
37,1.51196,74.420094,132.50489,46.433491,132.505477,46.4336038,08h50m01.31s,46d26m00.97s,60032.33189284,15.086,0.153,13.856,0.167,10,0000,P18140
37,1.514084,-143.894446,132.50489,46.433491,132.5045304,46.4331512,08h50m01.09s,46d25m59.34s,58208.80911524,15.08,0.12,14.107,0.171,10,0000,P18140
38,0.017606,-40.83682,146.6866,32.69539,146.6865962,32.6953937,09h46m44.78s,32d41m43.42s,58954.82604992,13.267,0.032,12.079,0.037,10,0000,P21417
38,0.019359,99.634341,146.6866,32.69539,146.6866063,32.6953891,09h46m44.79s,32d41m43.40s,57502.49653571,13.416,0.04,12.132,0.041,10,0000,P21417
38,0.023048,-1.50645,146.6866,32.69539,146.6865998,32.6953964,09h46m44.78s,32d41m43.43s,56975.69872556,13.29,0.033,11.969,0.047,10,0000,P21417
38,0.027245,-32.258713,146.6866,32.69539,146.6865952,32.6953964,09h46m44.78s,32d41m43.43s,58432.95842517,13.282,0.038,12.083,0.038,10,0000,P21417
38,0.027607,-92.989953,146.6866,32.69539,146.6865909,32.6953896,09h46m44.78s,32d41m43.40s,58065.48713316,13.381,0.035,12.061,0.047,5,0000,P21417
38,0.027674,-143.759826,146.6866,32.69539,146.6865946,32.6953838,09h46m44.78s,32d41m43.38s,58432.89297347,13.355,0.037,12.091,0.041,10,0000,P21417
38,0.028206,72.929168,146.6866,32.69539,146.6866089,32.6953923,09h46m44.79s,32d41m43.41s,59161.16752126,13.281,0.038,12.195,0.057,5,0000,P21417
38,0.028879,74.82437,146.6866,32.69539,146.6866092,32.6953921,09h46m44.79s,32d41m43.41s,60050.20060015,13.182,0.034,11.993,0.046,5,0000,P21417
38,0.031802,166.783465,146.6866,32.69539,146.6866024,32.6953814,09h46m44.78s,32d41m43.37s,56781.49055872,13.296,0.035,12.221,0.048,10,0000,P21417
38,0.033815,-43.6195,146.6866,32.69539,146.6865923,32.6953968,09h46m44.78s,32d41m43.43s,57143.31013115,13.435,0.049,12.014,0.037,10,0000,P21417
38,0.034668,-148.376424,146.6866,32.69539,146.686594,32.6953818,09h46m44.78s,32d41m43.37s,60050.26605187,13.211,0.034,11.941,0.037,10,0000,P21417
