name,class_zeltyn,z,ra,dec,is_clagn,umap_x,umap_y,fvar_w1,mean_w1_mjy,projected,clagn_score,in_region_zeltyn,in_region_clagn,n_spec,n_sdss,n_desi,mjd_first,mjd_last,years_since_last_spec,class_change_flag,broadline_change_flag,last_class,last_subclass,r_nmgy_last_sdssv,mjd_last_sdssv,r_mag_last_sdssv
J020719.49-033600.7,EVQ,0.560031,31.831208333333333,-3.6001944444444445,False,13.333651,2.3739119,0.1543466345669727,0.1366730201558489,True,0.2,False,False,12,11,1,57336.0,59957.0,3.6406951621231585,False,True,?,,4.647245,59226.0,20.832011077925227
J080709.93+205901.8,EVQ,0.314605,121.79137499999996,20.983833333333333,False,13.86388,3.4908416,0.1131062979840832,0.4407842057356007,True,0.2,False,True,6,6,0,53330.0,59888.0,3.829606866435274,False,False,?,,12.43978,59229.0,19.76296825040538
J083542.72+035353.8,EVQ,0.882281,128.928,3.898277777777778,False,21.052832,9.079323,0.4087484427178676,0.2505857731400583,True,0.2,False,True,5,4,1,55647.0,59531.43640361,4.805824789474284,True,True,GALAXY,,5.068832,59288.0,20.737730256692952
J143421.57+044137.2,EVQ,0.906706,218.589875,4.693666666666667,False,14.497211,-1.3488616,0.1565456176499199,0.2382355022010202,True,0.2,False,True,14,13,1,55682.0,60061.0,3.35595868026142,False,True,?,,5.515012,59315.0,20.64613384562606
J080133.29+341737.6,CL-AGN,0.337982,120.38870833333334,34.29377777777778,True,12.308919,2.1952481,0.1552730776943986,0.46377759551388,True,0.18,False,False,7,7,0,52584.0,59252.0,5.57087996705129,False,False,QSO,BROADLINE,18.46661,59252.0,19.33403205666469
J090535.77-004039.9,CL-AGN,0.793011,136.39904166666665,-0.67775,True,9.93672,3.1047442,0.0932263466038193,0.2970942923338689,True,0.18,False,True,5,4,1,51929.0,59603.27785036,4.6091336279410955,False,True,QSO,,2.093084,59254.0,21.698033355330487
J090612.02+014412.0,CL-AGN,0.588482,136.5500833333333,1.7366666666666668,True,13.943695,-1.3990697,0.1502540453747556,0.3767994885502485,True,0.18,False,False,9,9,0,55540.0,59615.0,4.577040131322337,False,False,?,,11.38271,59313.0,19.85938582158086
J113200.64+292603.9,EVQ,0.578446,173.00266666666664,29.434416666666667,False,14.800619,-2.0620914,0.1614417679143452,0.4409431439405393,True,0.18,False,True,5,5,0,53795.0,59339.0,5.332686948570797,False,False,?,,41.90121,59311.0,18.444433588841093
J135704.22+553414.8,EVQ,0.491954,209.26758333333328,55.57077777777778,False,13.060647,2.1730857,0.1527916338448515,0.1925859095142947,True,0.18,False,False,7,7,0,56487.0,59342.0,5.324473396209401,False,False,?,,6.889894,59312.0,20.404468648993344
J142310.50+045455.1,EVQ,0.607454,215.79374999999996,4.915305555555556,False,13.647741,0.915221,0.1279219812274613,0.2012776231485957,True,0.18,False,False,7,6,1,52049.0,60109.0,3.2245418424790793,False,False,?,,,,
J144731.89+342921.1,CL-AGN,0.387996,221.88287499999996,34.48919444444444,True,19.880661,5.4274273,0.2630454282053773,0.3601797854602054,True,0.18,False,False,5,4,1,58514.0,59687.34463057,4.378971327571487,False,False,QSO,,,,
J225350.57+193842.6,EVQ,0.432824,343.4607083333333,19.645166666666665,False,14.25137,-0.69287014,0.0701431128900357,0.3309561854540067,True,0.18,False,False,12,11,1,56959.0,59896.0,3.807704060138217,False,True,?,,16.25418,59197.0,19.472587337867793
J003849.27-011722.4,EVQ,0.500226,9.705291666666664,-1.2895555555555551,False,19.927412,5.376349,0.2784747521685063,0.3248586385818034,True,0.16,False,False,11,11,0,55827.0,59901.0,3.794014806202556,False,False,?,,4.774824,59187.0,20.802606579696665
J024508.68+003710.7,CL-AGN,0.29935,41.28616666666666,0.619638888888889,True,19.57372,4.7957807,0.24585645065516,0.3354479819284373,True,0.16,False,False,24,23,1,51871.0,59984.0,3.5667731908705917,False,True,?,,20.05971,59222.0,19.24418837448917
J082018.50+344141.0,CL-AGN,0.497461,125.07708333333332,34.69472222222222,True,13.520392,2.9711304,0.1941286692442637,0.2350774746874787,True,0.16,False,True,5,5,0,52295.0,59255.0,5.562666414689894,False,False,QSO,STARBURST BROADLINE,4.830196,59255.0,20.79008811515466
J084047.47+370701.1,EVQ,0.525236,130.19779166666663,37.11697222222222,False,12.852613,1.4111968,0.1219227089446087,0.1920324152625626,True,0.16,False,False,4,3,1,52320.0,59557.3757416,4.7348067525406785,False,False,QSO,,3.47006,59227.0,21.14915753964844
J090457.90+010423.1,EVQ,0.278855,136.24124999999998,1.0730833333333334,False,17.839148,2.308985,0.3310554500657371,0.4907074392672657,True,0.16,False,False,8,8,0,51924.0,59313.0,5.4038710690362315,False,False,QSO,BROADLINE,38.80391,59313.0,18.527811278419833
J132457.29+480241.3,CL-AGN,0.271847,201.2387083333333,48.044805555555556,True,14.432336,1.9219167,0.115919638699196,0.9060152728343064,True,0.16,False,False,8,8,0,52759.0,59346.0,5.313521993060872,False,False,?,,,,
J011536.11+003352.4,CL-AGN,0.364029,18.90045833333333,0.5645555555555556,True,15.005259,5.6664133,0.5259613493769087,0.3012990549448567,True,0.14,False,False,10,9,1,52202.0,59496.33353424,4.901931208009532,True,True,QSO,,12.44568,59218.0,19.762453424179295
