name,visit,mjd,w1,w1err,w2,n
CLAGN_0172,332.0,59708.12190999,12.812,0.007581379908543328,12.455,47
CLAGN_0172,333.0,59916.03317873,12.896,0.008711111214758992,12.569,25
CLAGN_0172,334.0,60074.63052796,12.823,0.00876684439993054,12.515,27
CLAGN_0172,335.0,60280.79316626,12.8835,0.007214654481175843,12.5415,34
CLAGN_0172,336.0,60438.788195205,12.887,0.008884943981969106,12.555,30
CLAGN_0212,315.0,56711.66285521,13.952,0.01655000265208364,12.85,21
CLAGN_0212,316.0,56890.345768485,14.0195,0.022319211046817392,12.916,16
CLAGN_0212,317.0,57073.67082537,14.043,0.01987265553283009,12.998,13
CLAGN_0212,318.0,57249.34212672,14.051,0.0216051444267315,12.989,15
CLAGN_0212,319.0,57437.90084859,13.939,0.016999039244877733,12.958,13
CLAGN_0212,320.0,57608.04713714,13.961,0.02247291789379613,12.96,15
CLAGN_0212,321.0,57804.57780113,13.8895,0.014352073999815803,12.881,24
CLAGN_0212,322.0,57971.550335105,13.7595,0.01804642212674343,12.792,14
CLAGN_0212,323.0,58169.203514680004,13.867,0.022770983499883476,12.812000000000001,12
CLAGN_0212,324.0,58332.06234084,13.99,0.01981983464857315,12.995000000000001,14
CLAGN_0212,325.0,58533.46001069,13.927,0.018156028406187925,12.978,13
CLAGN_0212,326.0,58696.228104235,13.8665,0.022531140420724783,12.986,14
CLAGN_0212,327.0,58900.371676505005,13.6665,0.04437671421874637,12.769,14
CLAGN_0212,328.0,59063.18390053,13.589,0.01559839518722002,12.721,13
CLAGN_0212,329.0,59264.66977005,13.549,0.019950414445938036,12.621,13
CLAGN_0212,330.0,59427.40084857,13.5395,0.01394477928308291,12.652000000000001,14
CLAGN_0212,331.0,59628.9381423,13.531,0.02074659960187574,12.661,15
CLAGN_0212,332.0,59791.65870118,13.559000000000001,0.011360976611588487,12.655999999999999,14
CLAGN_0212,333.0,59995.870823000005,13.679,0.012811386406603769,12.6955,12
CLAGN_0212,334.0,60158.70750757,13.852,0.0193765000225675,12.882,15
CLAGN_0212,335.0,60360.051968914995,13.955,0.023876246337493797,12.963000000000001,12
CLAGN_0212,336.0,60522.778098585,13.8835,0.042770557947996196,13.010000000000002,12
CLAGN_0215,316.0,56802.873300605,13.9025,0.01610170595726551,13.055,14
CLAGN_0215,317.0,56981.422190230005,13.8355,0.02100481611304204,12.994,10
CLAGN_0215,318.0,57164.79941177,13.811,0.018974766472315916,12.969,11
CLAGN_0215,319.0,57340.542790745,13.7295,0.01757646198686083,12.870000000000001,10
CLAGN_0215,320.0,57528.96430907,13.77,0.02733739427349366,12.898,12
CLAGN_0215,321.0,57702.178849464995,13.766,0.01864647481931814,12.9185,20
CLAGN_0215,322.0,57896.12343861,13.8,0.01564093567518495,12.912,11
CLAGN_0215,323.0,58063.10183831,13.8,0.016200939075922297,12.886,13
CLAGN_0215,324.0,58260.20770667,13.78,0.024937994763551883,12.931,13
CLAGN_0215,325.0,58423.70324618,13.656,0.018994664663676473,12.816,11
CLAGN_0215,326.0,58624.43061522501,13.5315,0.022161397666496503,12.743,12
CLAGN_0215,327.0,58787.936417870005,13.463999999999999,0.02405951153772993,12.6235,12
CLAGN_0215,328.0,58991.60632466,13.453,0.017643705195651976,12.591,13
CLAGN_0215,329.0,59154.99214311,13.423,0.017842667364091166,12.555,11
CLAGN_0215,330.0,59355.76307698,13.4295,0.02259761017006575,12.575,12
