group,name,umap_x,umap_y,t_change,sign,step,s,year_change
SampleA other,727,11.572192,-1.0028747,57492.7301757825,1.0,0.055855605893546774,0.8457234112206488,2016.285366668809
SampleA other,284,21.299938,4.011852,57979.7093286175,-1.0,0.05050939554695726,-0.9567937051900015,2017.6186429257152
SampleA other,2375,18.325602,3.7752447,58536.9757910225,1.0,0.02812229481779826,-0.5041947431362297,2019.144355348453
SampleA other,174,7.881974,-3.6084962,56111.208356195,1.0,0.040500641722063926,1.582950495439219,2012.5029660676112
SampleA other,7612,20.084553,1.7929041,57874.2448010025,-1.0,0.1655264461771307,-0.6105801852811537,2017.32989678577
SampleA other,986,21.234917,5.94137,56728.8845009125,1.0,0.006891088884922919,-1.0939165759523866,2014.1940711866187
SampleA other,493,19.711784,2.5739806,58360.81722834,1.0,0.1643967977042605,-0.6154639740716719,2018.6620594889528
SampleA other,7747,14.103014,-0.39090154,57831.9921951525,-1.0,0.0929700541072721,0.4294080626649568,2017.2142154555852
SampleA other,8039,2.5727756,-0.18061781,57433.119724805,-1.0,0.13157944421963147,2.0982627671326632,2016.122162148679
SampleA other,943,15.9108515,7.406965,58679.00281659,-1.0,0.1847525640633885,-0.4273180971233271,2019.5332041521972
SampleA other,634,7.973912,-3.4770703,58211.9878272175,1.0,0.042991022148525404,1.559529184953829,2018.2545867959411
SampleA other,3907,14.876397,4.0801477,57229.8038244925,1.0,0.41041413755259176,-0.023355782478388102,2015.565513550972
SampleA other,494,11.459662,-0.34849775,56895.6305175725,1.0,0.10645810739599271,0.8124405837703167,2014.6505968995825
SampleA other,505,22.46559,2.4110193,56786.2101293875,1.0,0.03414629653551708,-1.0054752188665599,2014.3510202036618
SampleA other,687,15.222552,7.9422464,57426.466239925,-1.0,0.23396544200448083,-0.3674176390592239,2016.1039458998632
SampleA other,425,8.91438,0.24944729,57147.059592624995,-1.0,0.09375854473798156,1.1389272711523064,2015.3389721906228
SampleA other,93,19.747536,4.6472926,56880.996297485,-1.0,0.1704845893382932,-0.7782390039585143,2014.610530588597
SampleA other,294,14.806026,3.7697997,56134.081309165005,1.0,0.2148045708434705,0.01051036928841556,2012.5655887999042
SampleA other,847,14.856943,1.7137713,56975.8051319125,1.0,0.09216054960551544,0.1593076768516558,2014.8701030305613
SampleA other,247,19.273874,3.9253457,57616.4375214125,-1.0,0.20270244178782684,-0.654165349824941,2016.6240589224162
SampleA other,8023,11.279858,3.8089387,58525.1174799125,-1.0,0.11767754320829082,0.5227907900652798,2019.1118890620464
SampleA other,793,20.480272,4.520737,57587.6763703325,-1.0,0.09746790727856391,-0.875691706600762,2016.545315182293
SampleA other,107,21.249422,3.3795152,58177.5955230525,-1.0,0.15192767237376678,-0.9013609206627489,2018.1604257989118
SampleA other,7696,12.606215,-1.8190588,57861.32857603,1.0,0.22985864259808095,0.7566505413715328,2017.2945340890624
SampleA other,5229,6.805994,-1.673533,57607.773215249996,1.0,0.029837929902893322,1.5931383048963974,2016.6003373449691
SampleA other,595,17.49637,10.056241,56924.2035583825,1.0,0.05749472524386563,-0.8603172734167703,2014.7288256218549
SampleA other,1337,1.4687165,-0.52696705,58334.952908880005,-1.0,0.010588337892576937,2.2859103577533806,2018.5912468415606
SampleA other,7967,1.3385812,-1.0800321,,,,2.3469535061687785,
SampleA other,8104,19.208897,3.1646159,57258.26331393,1.0,0.07410234023054028,-0.5868629039059198,2015.6434313865298
SampleA other,7722,10.050785,-1.8074821,57319.541571434995,1.0,0.1253069344515249,1.1291781759505863,2015.811202112074
SampleA other,363,17.923174,7.488889,58543.8778604525,-1.0,0.20276779320180288,-0.7275902932799401,2019.1632521846748
SampleA other,202,17.985886,7.5437675,56736.3742306725,1.0,0.06891479969131513,-0.7409241784316509,2014.2145769491376
