name,ra,dec
P248,239.02534,13.731263
P249,239.02388,13.765007
P252,235.19922,59.760917
P253,239.01453,15.130849
P255,238.97371,17.525382
P256,235.2689,22.899509
P257,238.86337,16.4757
P258,235.29815,19.847374
P259,235.25425,19.865789
P260,235.28259,20.602461
P262,235.38909,24.446477
P263,235.21549,23.605785
P264,238.83411,21.320779
P265,235.35051,27.016833
P267,235.38396,26.058211
P269,235.20662,26.297525
P270,235.43188,25.250214
P271,238.90513,26.133145
P272,235.39616,10.883798
P273,238.72901,9.3330066
P274,238.72848,9.4050591
P275,238.72444,7.9381742
P277,235.46192,31.010342
P278,238.89018,9.1158525
P279,238.71625,9.2046522
P280,238.8942,34.996901
P281,235.31271,36.698491
P284,239.04216,28.696206
P285,238.96384,33.856595
P286,235.52972,35.775617
P287,238.99228,33.351509
P288,232.93666,39.928397
P289,233.10063,39.024216
P290,236.84817,40.095158
P291,236.79747,39.133587
P292,233.08955,41.179938
P294,232.87145,39.632811
P295,232.91833,32.208787
P297,236.8502,47.536451
P299,232.80119,43.566142
P300,232.79308,43.114855
P301,232.96555,43.778249
P304,236.90017,53.678456
P305,236.72092,57.170458
P309,236.77158,13.339562
P311,236.62978,11.359931
P312,236.62799,10.443021
P313,236.65468,12.47572
P314,236.67335,16.158418
P315,236.73674,13.718439
P318,236.64593,19.232098
P323,232.96786,24.241593
P324,232.93109,24.071992
P325,232.84762,23.756934
P327,236.59723,23.979481
P329,236.77818,22.740028
P331,236.88201,25.300985
P332,236.92694,58.24876
P333,238.88677,33.438831
P334,235.20925,29.424311
P335,239.0024,4.2975256
P336,238.88422,4.4072131
P337,238.91103,4.3536879
P338,235.51824,4.7532507
P339,238.88337,3.8438951
P340,235.33954,28.285092
P341,235.32943,7.683299
P342,239.0061,33.507412
P343,238.96181,33.165923
P344,235.51148,48.557648
P345,235.29536,48.46564
P346,238.78781,43.643456
P347,238.73267,41.764536
P348,238.98387,40.895527
P350,238.77834,5.3566839
P351,238.85648,5.0290487
P352,238.88404,4.6246179
P354,235.28109,-0.62112988
P355,235.31582,-1.7024068
P356,235.50815,-2.1137822
P357,235.33308,2.5844766
P358,235.48032,2.0791213
P359,235.39278,51.178541
P360,235.39212,57.768932
P361,239.04087,3.1562004
P362,235.54269,3.4381941
P364,238.80608,56.737919
P367,238.74108,20.365108
P368,238.76997,13.726624
P369,235.3208,14.666904
P372,235.49992,55.224635
P373,239.00549,-0.61645787
P374,238.98776,-0.6023354
P376,238.2319,28.300011
P377,234.87917,29.100982
P380,238.06536,6.0684386
P381,238.32996,5.9240195
P382,238.10566,5.982371
P383,238.2823,25.729486
P384,238.28078,25.762277
P385,238.15495,7.1750697
P386,235.00452,7.8188516
P387,234.90915,7.3220483
P388,238.17406,6.3669216
P390,235.01771,35.847261
P391,235.04659,36.025707
P393,235.02477,46.330609
P395,234.89502,47.592061
P397,234.94649,49.010214
P398,235.1423,47.732534
P400,235.11145,46.848729
P401,238.29124,44.523048
P402,234.82972,43.68097
P403,238.24117,40.123357
P405,238.26661,4.2088869
P406,238.10366,4.2906204
P407,238.02744,-0.89427257
P408,234.83681,2.1492496
P409,234.93882,1.2159921
P410,238.3511,49.124153
P411,235.10494,50.450137
P413,234.85403,50.67588
P414,234.92288,50.715486
P416,234.82897,50.990366
P420,236.87313,25.449557
P421,236.68415,30.4364
P422,236.89676,36.223883
P424,236.81695,37.783927
P425,236.78161,36.562371
P428,233.03249,36.741293
P429,236.81143,33.074578
P430,236.75143,40.457454
P431,236.60625,39.802544
P432,236.90301,37.473865
P433,232.92543,5.3004682
P434,233.08897,9.3034247
P435,233.06336,8.2095169
P436,236.79443,7.7693692
P438,236.72644,35.361641
P439,236.67152,33.960408
P440,232.88335,35.577649
P441,236.71733,47.759249
P445,233.01993,47.840241
P450,233.00159,45.963744
P452,232.94765,49.985239
P454,236.64586,-1.5053374
P455,236.91211,-0.86504556
P456,236.68157,2.1383229
P457,236.61763,49.715089
P458,236.85142,51.629733
P460,236.86807,49.200788
P461,236.60538,53.316342
