umap_x,umap_y,label
-3.2158895,4.030769,16
-7.236891,4.0209656,1
-3.9847152,6.0436907,1
3.2705882,9.930051,2
-8.764125,7.6395526,832
1.2352823,9.5049,2
-3.4872434,5.909448,1
3.8385384,12.799669,2
-4.1319137,5.4456606,66
-8.640618,7.5058484,1
-7.9956946,9.13288,1
2.3305027,7.313987,2
-7.1509795,7.5465274,1
-7.6992774,9.105656,2
-8.020406,4.123368,1
-6.734672,2.6280453,833
1.4031085,9.02769,32
8.40076,15.528571,8
-3.566152,4.2014704,1
-5.287112,7.965388,832
8.752192,14.962873,4
-2.4165473,13.04821,32
-3.959918,7.9501348,1
4.18111,12.376467,2
-4.7618527,7.0456195,1
3.170622,10.205649,32
-8.563617,7.5292373,1
-6.110485,5.3162155,1
6.7410817,12.163573,2
