name,ra_01,dec_01,ra,dec,dist_x,mjd,w1mpro,w1sigmpro,w2mpro,w2sigmpro,qual_frame,cc_flags
P1823,245.16306,43.137382,245.1630485,43.137456,0.268107,57790.29437902,14.733,0.083,13.05,0.077,10,0000
P1823,245.16306,43.137382,245.1630219,43.1374042,0.128081,57790.35983109,14.75,0.103,13.17,0.07,10,0000
P1823,245.16306,43.137382,245.163037,43.1374143,0.131041,57790.42541049,14.525,0.093,13.24,0.071,10,0000
P1823,245.16306,43.137382,245.1630893,43.1373956,0.091222,57790.49086251,14.467,0.068,13.374,0.103,10,0000
P1823,245.16306,43.137382,245.1630535,43.1372746,0.387017,57790.55631456,14.516,0.07,13.056,0.075,10,0000
P1823,245.16306,43.137382,245.1630713,43.137333,0.17888,57790.62176659,14.721,0.084,13.203,0.079,10,0000
P1823,245.16306,43.137382,245.1630488,43.1373833,0.029792,57790.62189396,14.55,0.073,13.088,0.069,10,0000
P1823,245.16306,43.137382,245.1630622,43.1374316,0.178654,57790.68734598,14.465,0.071,13.185,0.088,10,0000
P1823,245.16306,43.137382,245.1630495,43.1374671,0.307599,57790.81825,14.578,0.081,13.059,0.086,10,0000
P1823,245.16306,43.137382,245.1630212,43.1374093,0.141591,57790.81837736,14.64,0.075,13.041,0.094,10,0000
P1823,245.16306,43.137382,245.162987,43.1373066,0.332348,57790.94928147,14.467,0.089,13.072,0.069,10,0000
P1823,245.16306,43.137382,245.163003,43.1373483,0.192717,57791.08030884,14.579,0.07,12.978,0.101,5,0000
P1823,245.16306,43.137382,245.1631439,43.1373712,0.223807,57955.15674074,14.598,0.07,13.285,0.084,10,0000
P1823,245.16306,43.137382,245.1629558,43.1373367,0.318628,57955.28777117,14.547,0.071,13.101,0.078,10,0000
P1823,245.16306,43.137382,245.163063,43.1373821,0.007889,57955.41867497,14.471,0.072,13.218,0.113,10,0000
P1823,245.16306,43.137382,245.1629646,43.1373527,0.271907,57955.48412649,14.467,0.088,13.164,0.07,10,0000
P1823,245.16306,43.137382,245.1629757,43.1373814,0.221465,57955.54957808,14.6,0.083,13.137,0.094,10,0000
P1823,245.16306,43.137382,245.1630149,43.1374526,0.280418,57955.61502971,14.531,0.071,13.198,0.071,10,0000
P1823,245.16306,43.137382,245.1629963,43.1373163,0.289731,57955.68048125,14.533,0.072,13.122,0.081,10,0000
P1823,245.16306,43.137382,245.1629494,43.137429,0.336221,57955.74593288,14.499,0.081,13.117,0.073,10,0000
P1823,245.16306,43.137382,245.163103,43.1373527,0.154551,57955.7460602,14.453,0.073,13.298,0.104,10,0000
P1823,245.16306,43.137382,245.1629976,43.1373451,0.210991,57955.81151183,14.58,0.069,13.2,0.08,5,0000
